cutoff	SLX-16110-16111.i702_i502.bowtie2.sorted.uniq.bam	SLX-16110-16111.i702_i503.bowtie2.sorted.uniq.bam	SLX-16110-16111.i702_i507.bowtie2.sorted.uniq.bam	SLX-16110-16111.i702_i508.bowtie2.sorted.uniq.bam	SLX-16110-16111.i703_i502.bowtie2.sorted.uniq.bam	SLX-16110-16111.i703_i503.bowtie2.sorted.uniq.bam	SLX-16110-16111.i705_i507.bowtie2.sorted.uniq.bam	SLX-16110-16111.i705_i508.bowtie2.sorted.uniq.bam	SLX-16110-16111.i706_i502.bowtie2.sorted.uniq.bam	SLX-16110-16111.i706_i503.bowtie2.sorted.uniq.bam	SLX-16110-16111.i706_i507.bowtie2.sorted.uniq.bam	SLX-16110-16111.i706_i508.bowtie2.sorted.uniq.bam
0	0	0	0	0	0	0	0	0	0	0	0	0
0.05	0	0	0	0.00615644136001726	0	0	0	0	0	0	0	0
0.1	0	0	0	0.0263351202926518	0.0205010907251107	0.0375577431982383	0.033814645610715	0.0228713234539139	0.0308009960003597	0.0302188229522572	0	0
0.15	0.0784319934746998	0	0.0857432403666568	0.0642182267938077	0.0634199804977522	0.0375577431982383	0.033814645610715	0.073501812299502	0.0890359139009393	0.0905434756602889	0.0513092067843188	0
0.2	0.0784319934746998	0.109642744272056	0.0857432403666568	0.117223276085203	0.123592315385062	0.108896309450614	0.0975550049071788	0.073501812299502	0.0890359139009393	0.0905434756602889	0.0513092067843188	0.120729047475564
0.25	0.0784319934746998	0.109642744272056	0.0857432403666568	0.179010258018759	0.123592315385062	0.108896309450614	0.178158552801316	0.146800176223129	0.163283180268596	0.169632601429096	0.142252154418624	0.120729047475564
0.3	0.210401048648387	0.109642744272056	0.211169608183084	0.274102601224137	0.193888933129806	0.199750900975242	0.178158552801316	0.23279751537524	0.241613753418134	0.254714689570199	0.142252154418624	0.120729047475564
0.35	0.210401048648387	0.27479823575128	0.211169608183084	0.333418519146966	0.267538223350955	0.296007873153515	0.263092134619974	0.23279751537524	0.241613753418134	0.254714689570199	0.249983439238079	0.120729047475564
0.4	0.354390128628496	0.27479823575128	0.211169608183084	0.386967717961298	0.339806813250145	0.296007873153515	0.263092134619974	0.32131943505004	0.316075984416925	0.336646682423603	0.249983439238079	0.28984469231378
0.45	0.354390128628496	0.27479823575128	0.336628830123508	0.434493957221938	0.407061297759801	0.387352714604953	0.345322206124595	0.405663076928395	0.382888042160203	0.410210172562823	0.356886737472211	0.28984469231378
0.5	0.354390128628496	0.438385296337203	0.336628830123508	0.476154897087303	0.407061297759801	0.387352714604953	0.419518571418511	0.481956006176417	0.382888042160203	0.410210172562823	0.356886737472211	0.28984469231378
0.55	0.483205447714058	0.438385296337203	0.443747511128993	0.528580622134498	0.468051588531349	0.468902536058533	0.419518571418511	0.481956006176417	0.441273150822746	0.473440971526834	0.452825317495305	0.447749067423145
0.6	0.483205447714058	0.438385296337203	0.443747511128993	0.558037914433632	0.522473222786482	0.468902536058533	0.484208196302555	0.548082444366959	0.491126855246159	0.52716252841507	0.452825317495305	0.447749067423145
0.65	0.483205447714058	0.438385296337203	0.443747511128993	0.583638782340851	0.569943191467111	0.539115523186914	0.540555935766843	0.605111289366607	0.491126855246159	0.52716252841507	0.534885927514447	0.447749067423145
0.7	0.58742965473864	0.573152749830883	0.528472136759674	0.606031237565765	0.569943191467111	0.597837919729861	0.540555935766843	0.605111289366607	0.533860540109031	0.571899113771107	0.534885927514447	0.447749067423145
0.75	0.58742965473864	0.573152749830883	0.528472136759674	0.625746543616916	0.611618964832951	0.597837919729861	0.588606924341084	0.652657379456484	0.56957151210221	0.608996807494998	0.602620937603891	0.573030636363943
0.8	0.666857376585	0.573152749830883	0.528472136759674	0.651336620056253	0.647955701945012	0.646988815533616	0.588606924341084	0.692637419921752	0.56957151210221	0.608996807494998	0.602620937603891	0.573030636363943
0.85	0.666857376585	0.674177323295199	0.593972582412176	0.666061077112802	0.679283066912412	0.646988815533616	0.628855081027685	0.726204496597232	0.599866134003714	0.640001067323598	0.657686526977971	0.573030636363943
0.9	0.666857376585	0.674177323295199	0.593972582412176	0.679374674961101	0.706476070408936	0.687364584727074	0.663175569479327	0.726204496597232	0.625808068606615	0.665869950346348	0.657686526977971	0.664892309777412
0.95	0.72587273306172	0.674177323295199	0.593972582412176	0.691436143799634	0.706476070408936	0.687364584727074	0.663175569479327	0.754227940229506	0.647658016145617	0.665869950346348	0.702210508867142	0.664892309777412
1	0.72587273306172	0.74677468725796	0.643920159550579	0.7021675983718	0.730215532143051	0.720477019252678	0.692734845201368	0.777519003863684	0.647658016145617	0.68782804641695	0.702210508867142	0.664892309777412
1.05	0.72587273306172	0.74677468725796	0.643920159550579	0.716671080771656	0.751008037241683	0.748013620097435	0.71832812418974	0.777519003863684	0.666714809407267	0.706273514938842	0.738313484972563	0.664892309777412
1.1	0.769484973246508	0.74677468725796	0.682138266854612	0.725263730156477	0.769214911384382	0.748013620097435	0.71832812418974	0.797679658218019	0.68356367446404	0.706273514938842	0.738313484972563	0.729916754145971
1.15	0.769484973246508	0.74677468725796	0.682138266854612	0.733366733761214	0.769214911384382	0.770801651474125	0.740336489122579	0.814491847280909	0.68356367446404	0.722505852205347	0.767479691045722	0.729916754145971
1.2	0.802115051610264	0.797186100147683	0.682138266854612	0.740846473178683	0.785191915489832	0.770801651474125	0.740336489122579	0.829262072346468	0.698592379208405	0.736584983368162	0.767479691045722	0.729916754145971
